TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
2021-10-28 22:24:21.573,1.1378908,0.32813135,0.5611798,0.0,0.4497011,-0.096629694,0.12327631,0.0,0.6772426,0.54974145,0.41441828,0.0,0.8476482,0.12142846,0.51753,0.0,0.7234262,-0.013351557,0.3440139,0.0,835.2747,1355.4579,770.40295,1160.4396,22.967033,0.32916259765625,0.0836181640625,0.9542236328125,-0.291595458984375,1.592559814453125,8.01513671875,1,1.0,2.0,1.0,1.0,65.30
2021-10-28 22:24:22.599,0.859735,0.32813135,0.58091617,0.0,0.09925097,-0.096629694,-0.095823154,0.0,0.8457186,0.54974145,0.12602271,0.0,0.7836677,0.12142846,0.36528903,0.0,0.66667897,-0.013351557,0.2923646,0.0,850.18317,1158.4249,763.5531,1018.60803,1144.3224,0.3095703125,0.18408203125,0.990478515625,9.936676025390625,-3.2000732421875,3.3197021484375,1,1.0,2.0,1.0,1.0,65.30
2021-10-28 22:24:22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-10-28 22:24:23.602,0.8104649,0.32813135,1.153173,0.0,0.7762875,-0.096629694,0.7801844,0.0,1.0797417,0.54974145,1.0866778,0.0,1.1874747,0.12142846,0.44582286,0.0,0.65307724,-0.013351557,0.2748946,0.0,846.9597,1234.9817,831.6484,946.4835,1340.1465,0.26641845703125,0.16436767578125,0.94512939453125,1.27105712890625,-5.93658447265625,8.98712158203125,1,1.0,2.0,1.0,1.0,65.30
2021-10-28 22:24:24.618,1.0412823,0.32813135,0.65916216,1.023298,0.77857846,-0.096629694,0.38908726,0.3634405,1.2087405,0.54974145,0.9614037,0.6804579,1.3961706,0.12142846,0.39456692,0.7401384,1.028161,-0.013351557,0.24937306,0.6714448,841.7216,818.3516,860.2564,799.41394,403.33334,0.280029296875,0.1868896484375,0.9451904296875,-2.833709716796875,0.441131591796875,8.067474365234375,1,1.0,2.0,1.0,1.0,65.28
2021-10-28 22:24:25.642,0.91006917,0.32813135,0.21049243,1.1788727,0.6489971,-0.096629694,-0.07337332,0.35284454,1.108691,0.54974145,0.29221645,0.58440506,1.3414512,0.12142846,0.37819818,0.7766907,1.068736,-0.013351557,0.3394072,0.76512325,834.87177,1066.1538,796.1905,995.2381,1050.8425,0.3089599609375,0.19219970703125,0.94537353515625,0.366363525390625,1.45050048828125,6.92352294921875,1,1.0,4.0,1.0,1.0,65.28
2021-10-28 22:24:25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-10-28 22:24:26.660,0.84435135,0.32813135,-0.04359245,1.2213998,0.83498985,-0.096629694,-0.13706121,0.36640435,1.063889,0.54974145,0.30114973,0.42867607,1.32344,0.12142846,0.52263755,0.79103315,1.0018793,-0.013351557,0.2677398,0.7817591,836.08057,875.56775,823.9927,852.6007,588.2784,0.31005859375,0.1875,0.94537353515625,-0.73272705078125,1.9140625,6.631927490234375,1,1.0,1.0,1.0,1.0,65.28
2021-10-28 22:24:27.676,0.8409483,0.32813135,0.12149484,0.743668,0.8510693,-0.096629694,-0.32422316,0.19344302,1.06711,0.54974145,0.21015269,0.6776343,1.2291362,0.12142846,0.7411546,0.81827897,0.93608534,-0.013351557,0.27407816,0.6143615,838.0952,626.1539,904.9817,655.9707,193.00366,0.31085205078125,0.18402099609375,0.9405517578125,-0.4486083984375,1.562652587890625,6.639404296875,1,1.0,1.0,1.0,1.0,65.28
2021-10-28 22:24:28.682,0.721734,0.32813135,0.026805332,0.5834741,0.7034379,-0.096629694,-0.14832349,0.57747614,0.996915,0.54974145,0.26577413,0.87832177,1.2053827,0.12142846,0.37973365,0.71354234,0.8771822,-0.013351557,0.28261727,0.6860108,838.9011,609.2308,940.84247,634.21246,346.11722,0.313232421875,0.184326171875,0.93841552734375,-0.485992431640625,0.88226318359375,7.13287353515625,1,1.0,1.0,1.0,1.0,65.28
2021-10-28 22:24:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2021-10-28 22:24:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2021-10-28 22:24:29.689,1.1418915,0.32813135,0.6049147,0.035375595,0.72389734,-0.096629694,0.044703692,0.37958017,1.137803,0.54974145,0.26315147,0.46524248,1.156281,0.12142846,0.55238736,0.702076,0.8520489,-0.013351557,0.37902635,0.5855664,879.19415,1181.7949,788.1319,1045.2014,1387.6923,0.2333984375,0.1119384765625,0.97589111328125,-0.785064697265625,16.86767578125,6.280517578125,1,1.0,1.0,1.0,1.0,65.28
2021-10-28 22:24:30.701,1.5255597,0.32813135,0.8721402,0.007738444,0.7899119,-0.096629694,0.23852333,0.4502922,1.122399,0.54974145,0.30687928,0.33442834,1.0410304,0.12142846,0.6284534,0.71608156,0.8914011,-0.013351557,0.54340976,0.51461405,769.19415,126.52015,677.72894,971.06226,896.52014,0.00604248046875,0.324951171875,0.95257568359375,9.45068359375,-1.039276123046875,-23.350067138671875,1,1.0,1.0,1.0,1.0,65.28
2021-10-28 22:24:31.709,1.1602489,0.32813135,1.7875727,0.007738444,0.9253429,-0.096629694,0.8147627,0.4502922,0.66073,0.54974145,0.41841626,0.33442834,1.03927,0.12142846,0.5719932,0.71608156,1.0446745,-0.013351557,0.33403555,0.51461405,789.7436,862.27106,834.4689,814.7253,337.65567,-0.02777099609375,0.262451171875,0.96881103515625,-10.06378173828125,-1.09161376953125,15.9405517578125,1,1.0,4.0,1.0,1.0,65.28
2021-10-28 22:24:32.727,1.4249452,0.32813135,1.6654646,0.007738444,0.9220187,-0.096629694,0.88813394,0.4502922,0.8996586,0.54974145,0.4639491,0.33442834,1.0737691,0.12142846,0.6588349,0.71608156,0.98004204,-0.013351557,0.49331453,0.51461405,859.0476,569.7436,936.8132,494.3956,0.0,-0.02886962890625,0.239501953125,0.97283935546875,-0.067291259765625,3.177642822265625,10.220794677734375,1,1.0,1.0,1.0,1.0,65.28
2021-10-28 22:24:33.743,1.1907239,0.32813135,1.0898392,0.007738444,0.66066766,-0.096629694,0.47733313,0.4502922,0.8520353,0.54974145,0.37842223,0.33442834,0.91731083,0.12142846,0.5687592,0.71608156,0.8077262,-0.013351557,0.39619616,0.51461405,818.7546,977.9121,774.83514,1114.1025,1610.1099,-0.02783203125,0.30548095703125,1.01678466796875,6.108551025390625,-0.725250244140625,13.226470947265625,1,1.0,1.0,1.0,1.0,65.28
2021-10-28 22:24:34.762,0.6082805,0.32813135,0.49538106,0.007738444,0.56517655,-0.096629694,0.3037452,0.4502922,0.73133874,0.54974145,0.32715604,0.33442834,1.0710536,0.12142846,0.48898986,0.71608156,0.8328928,-0.013351557,0.1910762,0.51461405,830.0366,747.8388,895.7143,584.2491,54.395603,-0.00262451171875,0.2923583984375,0.96160888671875,1.577606201171875,1.8243408203125,7.753448486328125,1,1.0,1.0,1.0,1.0,65.25
2021-10-28 22:24:35.778,0.46269098,0.7262246,0.672025,0.007738444,0.5874642,0.118826315,0.18763666,0.4502922,0.81612366,0.63928574,0.2693355,0.33442834,1.0987446,1.0519463,0.4172735,0.71608156,0.72203535,0.8438332,0.118551336,0.51461405,854.61536,1006.9231,796.1905,1059.3041,1589.1575,-0.0052490234375,0.30401611328125,0.960205078125,0.201873779296875,1.92901611328125,8.157196044921875,1,1.0,1.0,1.0,1.0,65.25
2021-10-28 22:24:36.783,0.35402688,1.0808283,0.08816455,0.007738444,0.23046997,0.36320534,-0.25771347,0.4502922,0.7200199,0.8577482,0.046767727,0.33442834,1.0018142,0.9695225,0.30991492,0.71608156,0.81496495,0.94730055,0.3109702,0.51461405,906.99634,753.47986,957.76556,717.2161,819.15753,-0.01226806640625,0.31524658203125,0.95635986328125,-0.25421142578125,1.637420654296875,6.676788330078125,1,1.0,1.0,1.0,1.0,65.25
2021-10-28 22:24:37.799,1.6615622,0.8436324,-0.15495417,0.007738444,0.46486467,0.41643313,-0.4557505,0.4502922,0.66648316,0.6444616,0.11855555,0.33442834,1.2065524,0.87936914,0.50771654,0.71608156,1.0433941,0.998315,0.6854521,0.51461405,790.9524,969.45056,762.74725,1073.8096,981.13556,-0.015380859375,0.31201171875,0.9586181640625,-0.37384033203125,1.562652587890625,6.901092529296875,1,1.0,1.0,1.0,1.0,65.25
2021-10-28 22:24:38.818,1.4123124,0.86427784,-0.070469916,0.007738444,0.35484666,0.82353824,-0.51108277,0.4502922,0.6047733,0.7407783,0.11968428,0.33442834,1.1404186,0.88435256,0.5925708,0.71608156,0.90924877,0.8293836,0.4632472,0.51461405,900.9524,767.5824,945.6777,480.69598,525.0183,-0.0260009765625,0.31494140625,0.96429443359375,0.351409912109375,1.861724853515625,7.46185302734375,1,1.0,1.0,1.0,1.0,65.25
2021-10-28 22:24:39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-10-28 22:24:39.833,0.18857966,0.7697863,0.058537617,0.007738444,-0.09213787,0.6060915,-0.3710705,0.4502922,0.5419657,0.65406334,0.07858225,0.33442834,0.9388005,0.75232655,0.6777734,0.71608156,0.8209918,0.6795357,0.5228477,0.51461405,798.60803,971.06226,756.30035,1095.1648,1252.3077,-0.02032470703125,0.3138427734375,0.95318603515625,-0.635528564453125,1.435546875,6.9085693359375,1,1.0,1.0,1.0,1.0,65.25
2021-10-28 22:24:40.865,0.35963073,0.57861894,0.3148345,0.007738444,0.015256728,0.30524734,-0.14441042,0.4502922,0.68152153,0.35157073,0.1281761,0.33442834,0.8999434,0.7038227,0.5817366,0.71608156,0.8090271,0.7259971,0.41839284,0.51461405,810.696,949.707,816.337,1064.1392,1549.6703,-0.013427734375,0.3160400390625,0.95880126953125,-0.4486083984375,0.6878662109375,6.92352294921875,1,1.0,1.0,1.0,1.0,65.25
2021-10-28 22:24:41.868,0.54704213,1.0035591,0.23531885,0.007738444,0.44059023,0.9005298,-0.23490644,0.4502922,0.7688713,1.1944102,-0.0088646915,0.33442834,1.0187547,0.891146,0.6975639,0.71608156,0.8515646,0.7475595,0.47705212,0.51461405,816.7399,832.0513,865.09155,722.8571,282.45422,-0.01165771484375,0.31201171875,0.9522705078125,-0.37384033203125,1.996307373046875,7.2076416015625,1,1.0,1.0,1.0,1.0,65.25
2021-10-28 22:24:42.883,0.6521575,1.0694053,0.076800294,0.007738444,0.61101633,0.9178296,-0.12057316,0.4502922,0.70316446,1.2040564,-0.008564404,0.33442834,1.0031955,0.89937496,0.6216514,0.71608156,0.75401,0.6250771,0.4314528,0.51461405,857.03296,913.8461,855.42126,929.9634,1339.3407,-0.01416015625,0.31298828125,0.9603271484375,-0.142059326171875,2.444915771484375,7.274932861328125,1,1.0,1.0,1.0,1.0,65.25
2021-10-28 22:24:43.893,0.19419122,0.6098388,0.011200449,0.007738444,0.120240375,-0.10547057,-0.18271843,0.4502922,0.5797919,0.61297274,-0.19833544,0.33442834,0.94463104,0.7544851,0.7275408,0.71608156,0.8284072,0.5173913,0.47569278,0.51461405,877.98535,789.34064,948.49817,571.75824,521.39197,-0.01605224609375,0.3138427734375,0.9539794921875,-0.22430419921875,1.36077880859375,7.37213134765625,1,1.0,1.0,1.0,1.0,65.25
2021-10-28 22:24:44.910,0.3104055,0.92119145,0.13722602,0.007738444,-0.07825678,0.07822362,-0.08632897,0.4502922,0.6422136,0.23144007,-0.17159775,0.33442834,0.92000103,0.80410737,0.6283071,0.71608156,0.83215564,0.51978016,0.42695096,0.51461405,845.7509,925.5311,788.5348,1104.8352,1277.2894,-0.01446533203125,0.3143310546875,0.96038818359375,-0.2093505859375,1.457977294921875,7.379608154296875,1,1.0,1.0,1.0,1.0,65.22
2021-10-28 22:24:45.912,1.130933,0.5418232,0.16730621,0.007738444,0.57449794,0.22612266,-0.13089548,0.4502922,0.71251845,0.5770407,0.37823367,0.33442834,0.85951906,0.7176313,0.540042,0.71608156,0.69963443,0.42953414,0.3575037,0.51461405,978.71796,923.5165,809.4872,1045.6044,1472.7106,-0.1939697265625,0.2000732421875,0.96551513671875,0.216827392578125,9.966583251953125,9.622650146484375,1,1.0,1.0,1.0,1.0,65.22
2021-10-28 22:24:46.920,2.2688038,1.1790234,0.7137859,0.007738444,0.9771713,0.84412473,0.313496,0.4502922,0.6650118,0.7798325,0.7329661,0.33442834,0.90727293,0.7571209,0.7997321,0.71608156,0.76151395,0.30779573,0.3997911,0.51461405,806.26373,855.82416,853.4066,806.6667,406.55676,-0.08123779296875,0.2159423828125,0.9693603515625,2.07855224609375,-21.81732177734375,-20.5462646484375,1,1.0,1.0,1.0,1.0,65.22
2021-10-28 22:24:47.934,1.8925465,0.93249786,0.44483712,0.007738444,0.55553645,0.78538805,0.25766233,0.4502922,0.96413136,0.5678302,0.47671834,0.33442834,0.93170404,0.66238576,0.6491638,0.71608156,0.6441704,0.47846586,0.19749169,0.51461405,811.50183,895.31134,792.5641,1081.0623,1024.652,-0.0186767578125,0.0771484375,1.0338134765625,-14.72930908203125,-9.2413330078125,-2.773895263671875,1,1.0,1.0,1.0,1.0,65.22
2021-10-28 22:24:48.944,1.3528647,0.6152583,0.49232438,0.007738444,0.60883725,0.31178328,0.079825655,0.4502922,0.977988,0.57603717,0.31132862,0.33442834,0.7966205,0.64077497,0.35879815,0.71608156,0.5205269,0.5013588,0.18308964,0.51461405,890.07324,858.6447,930.3663,639.85345,691.02563,0.0809326171875,0.211669921875,0.969482421875,27.3651123046875,8.61328125,5.480499267578125,1,1.0,1.0,1.0,1.0,65.22
2021-10-28 22:24:49.948,1.5236135,0.4762092,0.3845487,0.007738444,0.8600188,0.2586299,0.1603798,0.4502922,1.1111772,0.4753648,0.31934327,0.33442834,1.0531001,0.6563543,0.2541192,0.71608156,0.8926365,0.5107416,0.31808445,0.51461405,809.89014,843.3333,868.71796,757.50916,819.9634,0.05902099609375,0.4796142578125,0.8902587890625,8.635711669921875,-3.050537109375,12.1124267578125,1,1.0,1.0,1.0,1.0,65.22
2021-10-28 22:24:50.963,1.4027504,1.3159865,0.36361697,1.0063342,1.0862827,0.8257197,0.25323346,0.44816875,1.1111772,0.5203264,0.30185133,0.7548572,1.3137378,0.78731465,0.4322164,0.7243232,1.2122234,0.57858795,0.27009666,0.51418364,836.8865,937.2161,846.55676,917.8755,1185.8242,0.23004150390625,0.5833740234375,0.77880859375,-8.14971923828125,6.759033203125,-0.43365478515625,1,1.0,1.0,1.0,1.0,65.22
2021-10-28 22:24:51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-10-28 22:24:51.987,1.4027504,1.3159865,0.45892343,1.327343,1.0862827,0.8257197,0.43334275,0.8855282,1.1111772,0.5203264,0.35859975,0.8937942,1.3137378,0.78731465,0.52488637,0.732719,1.2122234,0.57858795,0.26400384,0.7659111,858.6447,796.1905,934.3956,662.8205,539.5238,0.19561767578125,0.19744873046875,0.93499755859375,-18.011627197265625,-5.8319091796875,27.073516845703125,1,1.0,1.0,1.0,1.0,65.22
2021-10-28 22:24:52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-10-28 22:24:52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-10-28 22:24:53.014,1.4027504,1.3159865,0.5833534,1.3964815,1.0862827,0.8257197,0.27073616,1.1145602,1.1111772,0.5203264,0.35643366,0.8402511,1.3137378,0.78731465,0.44148242,0.8246284,1.2122234,0.57858795,0.35680285,0.89963216,859.45056,898.1319,867.9121,795.38464,996.8498,0.27197265625,0.214111328125,0.95660400390625,4.0972900390625,2.99072265625,7.364654541015625,1,1.0,1.0,1.0,1.0,65.22
2021-10-28 22:24:54.031,1.5528795,1.7816498,0.566698,1.3964815,0.79050463,0.87298334,0.14044707,1.1145602,0.7691872,0.7877797,0.13097872,0.8402511,0.8517042,0.94725794,0.3810862,0.8246284,0.71289915,0.6699364,0.44330356,0.89963216,859.0476,0.0,817.9487,1007.326,860.65936,0.55145263671875,0.23114013671875,0.8216552734375,-1.27105712890625,-2.893524169921875,12.867584228515625,1,1.0,1.0,1.0,1.0,65.22
2021-10-28 22:24:55.056,1.3919696,1.7945262,0.8657385,1.3964815,0.57561356,0.8058195,-0.003939199,1.1145602,0.76045567,0.6295378,0.10536002,0.8402511,0.8545874,0.9563592,0.4608517,0.8246284,0.8810107,0.6722991,0.2665053,0.89963216,812.3077,946.4835,857.8388,820.7692,468.60806,0.55224609375,0.1475830078125,0.81890869140625,-4.42626953125,7.117919921875,13.346099853515625,1,1.0,4.0,1.0,1.0,65.19
2021-10-28 22:24:55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2021-10-28 22:24:55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2021-10-28 22:24:56.062,0.54745895,1.7945262,0.47233576,1.3964815,0.4499834,0.8058195,-0.17873293,1.1145602,0.91407233,0.6295378,0.43087164,0.8402511,1.081184,0.9563592,0.7379546,0.8246284,0.72778493,0.6722991,0.20814724,0.89963216,892.0879,1262.7839,856.63007,847.3626,1037.1428,0.510498046875,0.2056884765625,0.78131103515625,5.286102294921875,-5.630035400390625,-18.52752685546875,1,1.0,4.0,1.0,1.0,65.19
2021-10-28 22:24:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-10-28 22:24:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-10-28 22:24:57.084,0.5553966,1.7945262,0.91991097,1.3964815,0.437828,0.8058195,0.3438946,1.1145602,0.87791353,0.6295378,0.34032205,0.8402511,1.2110575,0.9563592,0.32994798,0.8246284,0.6034838,0.6722991,0.12250264,0.89963216,899.34064,919.89014,845.34796,973.0769,1231.7583,0.42291259765625,0.2542724609375,0.86676025390625,-6.587066650390625,26.69219970703125,11.701202392578125,1,1.0,4.0,1.0,1.0,65.19
